V1,V2,V3,w1,w2,w3,d1,d2,n,a,b,theta
-98,12,-5,26,11,28,7,7,1,101.67872619628906,130.46322631835938,179.41590881347656
-98,12,0,29,12,19,7,7,2,110.95790100097656,124.74441528320312,0.12327311187982559
-98,12,0,20,10,13,6,6,1,81.99273681640625,125.4196548461914,1.5694289207458496
-98,12,-5,26,12,10,7,5,1,106.24896240234375,126.64348602294922,179.315185546875
-98,12,-5,26,10,31,7,6,1,102.1707763671875,129.06861877441406,0.3587195575237274
-98,12,-5,35,12,31,7,7,2,121.71333312988281,139.28302001953125,97.59994506835938
-98,12,-5,26,11,16,5,5,1,103.78213500976562,105.94927978515625,112.77710723876953
-98,12,0,32,13,1,7,5,1,123.77265930175781,125.06583404541016,102.61817169189453
-98,12,0,23,13,28,5,6,1,85.69837188720703,136.43312072753906,1.4439970254898071
-98,12,-5,20,11,19,5,6,1,98.78961944580078,107.15057373046875,179.22317504882812
-98,12,-5,35,12,19,7,6,1,111.1350326538086,122.81819152832031,93.93608856201172
-98,12,-5,29,14,28,6,6,2,110.95263671875,125.19009399414062,179.19664001464844
-98,12,0,32,12,10,7,6,1,123.83885955810547,125.71234130859375,102.94200134277344
-98,12,0,32,13,13,5,7,1,123.99919128417969,125.38262176513672,106.27997589111328
-98,12,-5,29,14,4,7,7,2,109.09058380126953,125.43681335449219,179.01353454589844
-98,12,0,20,10,28,6,6,2,77.0338134765625,127.8454818725586,1.8477778434753418
-98,12,-5,23,12,4,5,6,1,76.41350555419922,136.38796997070312,1.8107174634933472
-98,12,-5,23,14,4,7,5,1,75.67060852050781,137.1818389892578,1.6936146020889282
-98,12,0,32,12,7,6,5,1,123.82463836669922,126.38074493408203,99.25237274169922
-98,12,0,32,13,19,5,5,1,123.90744018554688,125.82463073730469,98.81748962402344
-98,12,0,32,15,13,6,5,1,122.87369537353516,127.8110122680664,93.80382537841797
-98,12,0,35,10,28,7,7,1,110.00011444091797,126.06640625,91.99056243896484
-98,12,0,32,12,28,6,6,1,123.52839660644531,126.98426818847656,94.5831298828125
-98,12,0,32,12,1,7,6,2,124.03109741210938,124.9618911743164,115.35372924804688
-98,12,0,20,14,7,7,7,1,84.99147033691406,122.59212493896484,2.112278461456299
-98,12,-5,23,11,28,6,5,1,78.75401306152344,135.78091430664062,0.964971125125885
-98,12,-5,23,13,10,7,6,1,79.64331817626953,134.71836853027344,1.4904639720916748
-98,12,0,35,11,22,5,5,1,110.50912475585938,125.83906555175781,92.28443908691406
-98,12,-5,26,11,7,6,5,2,98.66972351074219,125.6546630859375,0.5441239476203918
-98,12,-5,35,10,16,5,7,1,110.49681091308594,124.08706665039062,93.11103057861328
-98,12,0,35,15,22,5,6,1,110.1505355834961,126.26982879638672,92.86693572998047
-98,12,0,23,13,10,6,6,1,84.40409088134766,134.81802368164062,2.9775497913360596
-98,12,0,26,12,1,7,6,1,101.97437286376953,114.43680572509766,98.11373901367188
-98,12,-5,23,11,13,6,7,1,76.24788665771484,136.8285369873047,1.59102463722229
-98,12,-5,32,12,25,5,7,1,123.8926010131836,124.53739929199219,127.62200164794922
-98,12,0,35,13,1,5,6,1,110.06405639648438,126.62664031982422,93.01380920410156
-98,12,-10,20,10,31,5,7,1,101.40689086914062,102.99057006835938,169.55149841308594
-98,12,-5,26,12,10,6,7,2,97.6338119506836,126.41524505615234,179.802978515625
-98,12,-5,29,12,22,7,7,2,111.64605712890625,124.1784439086914,177.4767303466797
-98,12,-10,20,10,31,6,6,1,100.19304656982422,103.85172271728516,0.08022284507751465
-98,12,-5,32,11,1,6,7,1,123.63526153564453,125.86885070800781,99.69454956054688
-98,12,-5,20,10,1,7,5,1,89.37593078613281,113.4828109741211,1.8740668296813965
